Full_Date,Date_Key,Year,Quarter,Month,Month_Name,Day_Name
2010-01-01,20100101,2010,1,1,January,Friday
2010-01-03,20100103,2010,1,1,January,Sunday
2010-01-06,20100106,2010,1,1,January,Wednesday
2010-01-10,20100110,2010,1,1,January,Sunday
2010-01-11,20100111,2010,1,1,January,Monday
2010-01-12,20100112,2010,1,1,January,Tuesday
2010-01-13,20100113,2010,1,1,January,Wednesday
2010-01-16,20100116,2010,1,1,January,Saturday
2010-01-18,20100118,2010,1,1,January,Monday
2010-01-20,20100120,2010,1,1,January,Wednesday
2010-01-23,20100123,2010,1,1,January,Saturday
2010-01-26,20100126,2010,1,1,January,Tuesday
2010-01-30,20100130,2010,1,1,January,Saturday
2010-02-03,20100203,2010,1,2,February,Wednesday
2010-02-07,20100207,2010,1,2,February,Sunday
2010-02-10,20100210,2010,1,2,February,Wednesday
2010-02-11,20100211,2010,1,2,February,Thursday
2010-02-13,20100213,2010,1,2,February,Saturday
2010-02-16,20100216,2010,1,2,February,Tuesday
2010-02-19,20100219,2010,1,2,February,Friday
2010-02-20,20100220,2010,1,2,February,Saturday
2010-02-25,20100225,2010,1,2,February,Thursday
2010-03-01,20100301,2010,1,3,March,Monday
2010-03-02,20100302,2010,1,3,March,Tuesday
2010-03-04,20100304,2010,1,3,March,Thursday
2010-03-08,20100308,2010,1,3,March,Monday
2010-03-14,20100314,2010,1,3,March,Sunday
2010-03-16,20100316,2010,1,3,March,Tuesday
2010-03-17,20100317,2010,1,3,March,Wednesday
2010-03-19,20100319,2010,1,3,March,Friday
2010-03-20,20100320,2010,1,3,March,Saturday
2010-04-09,20100409,2010,2,4,April,Friday
2010-04-10,20100410,2010,2,4,April,Saturday
2010-04-14,20100414,2010,2,4,April,Wednesday
2010-04-18,20100418,2010,2,4,April,Sunday
2010-04-21,20100421,2010,2,4,April,Wednesday
2010-05-01,20100501,2010,2,5,May,Saturday
2010-05-02,20100502,2010,2,5,May,Sunday
2010-05-03,20100503,2010,2,5,May,Monday
2010-05-04,20100504,2010,2,5,May,Tuesday
2010-05-08,20100508,2010,2,5,May,Saturday
2010-05-10,20100510,2010,2,5,May,Monday
2010-05-13,20100513,2010,2,5,May,Thursday
2010-05-16,20100516,2010,2,5,May,Sunday
2010-05-22,20100522,2010,2,5,May,Saturday
2010-05-26,20100526,2010,2,5,May,Wednesday
2010-05-27,20100527,2010,2,5,May,Thursday
2010-05-30,20100530,2010,2,5,May,Sunday
2010-05-31,20100531,2010,2,5,May,Monday
2010-06-05,20100605,2010,2,6,June,Saturday
2010-06-06,20100606,2010,2,6,June,Sunday
2010-06-09,20100609,2010,2,6,June,Wednesday
2010-06-13,20100613,2010,2,6,June,Sunday
2010-06-14,20100614,2010,2,6,June,Monday
2010-06-15,20100615,2010,2,6,June,Tuesday
2010-06-19,20100619,2010,2,6,June,Saturday
2010-06-20,20100620,2010,2,6,June,Sunday
2010-06-23,20100623,2010,2,6,June,Wednesday
2010-06-26,20100626,2010,2,6,June,Saturday
2010-06-28,20100628,2010,2,6,June,Monday
2010-07-09,20100709,2010,3,7,July,Friday
2010-07-10,20100710,2010,3,7,July,Saturday
2010-07-12,20100712,2010,3,7,July,Monday
2010-07-16,20100716,2010,3,7,July,Friday
2010-07-19,20100719,2010,3,7,July,Monday
2010-07-20,20100720,2010,3,7,July,Tuesday
2010-07-24,20100724,2010,3,7,July,Saturday
2010-07-28,20100728,2010,3,7,July,Wednesday
2010-07-31,20100731,2010,3,7,July,Saturday
2010-08-01,20100801,2010,3,8,August,Sunday
2010-08-14,20100814,2010,3,8,August,Saturday
2010-08-15,20100815,2010,3,8,August,Sunday
2010-08-19,20100819,2010,3,8,August,Thursday
2010-08-21,20100821,2010,3,8,August,Saturday
2010-08-23,20100823,2010,3,8,August,Monday
2010-08-25,20100825,2010,3,8,August,Wednesday
2010-08-27,20100827,2010,3,8,August,Friday
2010-08-28,20100828,2010,3,8,August,Saturday
2010-08-31,20100831,2010,3,8,August,Tuesday
2010-09-01,20100901,2010,3,9,September,Wednesday
2010-09-03,20100903,2010,3,9,September,Friday
2010-09-07,20100907,2010,3,9,September,Tuesday
2010-09-09,20100909,2010,3,9,September,Thursday
2010-09-12,20100912,2010,3,9,September,Sunday
2010-09-18,20100918,2010,3,9,September,Saturday
2010-09-19,20100919,2010,3,9,September,Sunday
2010-09-20,20100920,2010,3,9,September,Monday
2010-09-25,20100925,2010,3,9,September,Saturday
2010-09-26,20100926,2010,3,9,September,Sunday
2010-09-27,20100927,2010,3,9,September,Monday
2010-09-29,20100929,2010,3,9,September,Wednesday
2010-10-01,20101001,2010,4,10,October,Friday
2010-10-03,20101003,2010,4,10,October,Sunday
2010-10-06,20101006,2010,4,10,October,Wednesday
2010-10-07,20101007,2010,4,10,October,Thursday
2010-10-09,20101009,2010,4,10,October,Saturday
2010-10-12,20101012,2010,4,10,October,Tuesday
2010-10-13,20101013,2010,4,10,October,Wednesday
2010-10-16,20101016,2010,4,10,October,Saturday
2010-10-20,20101020,2010,4,10,October,Wednesday
2010-10-22,20101022,2010,4,10,October,Friday
2010-10-25,20101025,2010,4,10,October,Monday
2010-10-26,20101026,2010,4,10,October,Tuesday
